epoch	train_loss	train_SmoothL1Loss	train_mseloss	train_maeloss	test_loss	test_SmoothL1Loss	test_mseloss	test_maeloss	
0	0.503865784406662	0.05324173420667648	0.1073832705616951	0.2263208270072937	0.29480312392115593	0.0558355338871479	0.11167581751942635	0.25132935494184494	
1	0.35959219336509707	0.03714175149798393	0.0746323972940445	0.15058283805847167	0.2623535692691803	0.05240856669843197	0.10481899604201317	0.23940259963274002	
2	0.2888934791088104	0.03008004166185856	0.06082249283790588	0.15602157711982728	0.23941192962229252	0.047932401299476624	0.09587451443076134	0.21624243259429932	
3	0.2286320298910141	0.024100933223962784	0.04834743365645409	0.13791664838790893	0.23855062574148178	0.043185871094465256	0.08637441322207451	0.21200785040855408	
4	0.18870492279529572	0.020043086260557175	0.04030756950378418	0.1331287920475006	0.21399256773293018	0.043167419731616974	0.08633874729275703	0.19381143897771835	
5	0.1613060027360916	0.017062980495393277	0.03429097719490528	0.11358976662158966	0.21928038820624352	0.04295249097049236	0.0859084352850914	0.19810102880001068	
6	0.14741021394729614	0.015613851323723792	0.031285932287573814	0.11463351398706437	0.20633252896368504	0.041232334449887276	0.08247066289186478	0.1850624531507492	
7	0.1200867936015129	0.012766839191317558	0.025576556473970412	0.09571649730205536	0.20523222349584103	0.040467845275998116	0.08094678819179535	0.17596182972192764	
8	0.09228569269180298	0.009906287863850593	0.019818513840436935	0.08753603249788285	0.20396525599062443	0.03650609590113163	0.07301641255617142	0.1682378053665161	
9	0.08003167808055878	0.008648668229579926	0.017297964543104172	0.07866299003362656	0.19701863825321198	0.03827122785151005	0.07654538378119469	0.16428536176681519	
10	0.06607251018285751	0.007233902346342802	0.01448043342679739	0.07160646170377731	0.1953655444085598	0.03745449706912041	0.07491295412182808	0.15789222717285156	
11	0.05438113883137703	0.00601967191323638	0.01203934382647276	0.0657887578010559	0.19547007605433464	0.03813946060836315	0.07628239691257477	0.1601724922657013	
12	0.051683337241411206	0.005734382383525372	0.011469276808202266	0.06369032710790634	0.1939996052533388	0.035386813804507256	0.07077587768435478	0.14667819440364838	
13	0.04445287212729454	0.004958663415163755	0.00991732683032751	0.059707381576299665	0.19702580571174622	0.032342273741960526	0.06469289027154446	0.1438387930393219	
14	0.04541169852018356	0.005006245383992791	0.010012490767985582	0.06137495562434196	0.1928895302116871	0.03667047992348671	0.07334286347031593	0.1464761570096016	
15	0.035235654562711716	0.003964577196165919	0.007998497132211924	0.05326777994632721	0.19315917789936066	0.03242286294698715	0.06484747678041458	0.13297957181930542	
16	0.033012191951274875	0.0037200785707682373	0.007490453589707613	0.05017590075731278	0.19192722253501415	0.04085397906601429	0.08171132951974869	0.15151336789131165	
17	0.0295646857470274	0.0033609173260629177	0.006834687292575836	0.047770172357559204	0.1921690944582224	0.03623157553374767	0.0724644772708416	0.13725735992193222	
18	0.028912635892629622	0.00327543206512928	0.006588773336261511	0.04683765321969986	0.1937047615647316	0.033274607732892036	0.06655101850628853	0.1313891038298607	
19	0.023340822011232377	0.002704135375097394	0.005408270750194788	0.04467611312866211	0.1921701803803444	0.037631332874298096	0.07526466995477676	0.13963928818702698	
20	0.028997840359807014	0.0032850539777427913	0.0065847313031554226	0.045892121642827986	0.19281209632754326	0.034518735483288765	0.06903926655650139	0.13235441595315933	
21	0.027616226673126222	0.0031308296602219343	0.006280949991196394	0.045941997319459915	0.19276918284595013	0.034728074446320534	0.06945805996656418	0.13397666066884995	
22	0.02929278165102005	0.0032750220969319345	0.006551051791757345	0.04540339633822441	0.19125768914818764	0.03882131725549698	0.0776442363858223	0.14922458678483963	
23	0.021744322404265402	0.0024963281117379665	0.004992656223475933	0.04225323498249054	0.19345135986804962	0.035139016807079315	0.07028363645076752	0.1425553634762764	
24	0.021061449497938155	0.002447012672200799	0.004894025344401598	0.04196461662650108	0.19370949547737837	0.033860194496810436	0.06772179715335369	0.13484759628772736	
25	0.023230766132473945	0.0026362322736531497	0.005282853357493877	0.04004596844315529	0.19405770674347878	0.03399638831615448	0.06799604371190071	0.13447801768779755	
26	0.01696179937571287	0.001987672131508589	0.003975344263017178	0.03693959042429924	0.1932064089924097	0.0368578527122736	0.07372141256928444	0.14222215116024017	
27	0.016828641295433044	0.001958936941809952	0.003917873883619904	0.036632496118545535	0.19374773930758238	0.03369633946567774	0.06739453785121441	0.13440589606761932	
